11,coop,63,coop
5,comp,16,comp
22,coop,24,coop
42,coop,47,coop
57,coop,79,coop
5,coop,84,coop
9,coop,17,coop
50,coop,59,coop
33,coop,39,coop
28,coop,32,coop
4,coop,34,coop
7,coop,41,coop
66,coop,72,coop
8,coop,81,coop
5,coop,36,coop
22,coop,45,coop
60,coop,70,coop
11,coop,36,coop
18,coop,72,coop
74,coop,91,coop
12,coop,60,coop
38,coop,73,coop
23,comp,93,comp
5,coop,87,coop
4,coop,80,coop
9,coop,86,coop
54,coop,89,coop
64,coop,77,coop
5,coop,66,coop
26,coop,56,coop
3,coop,88,coop
10,coop,86,coop
7,comp,55,comp
44,coop,90,coop
13,coop,37,coop
2,coop,33,coop
84,coop,85,coop
8,coop,82,coop
4,coop,88,coop
48,coop,63,coop
31,coop,51,coop
39,coop,69,coop
50,coop,94,coop
14,coop,35,coop
23,coop,26,coop
30,coop,48,coop
3,coop,7,coop
23,coop,27,coop
2,coop,39,coop
2,coop,22,coop
40,coop,54,coop
55,coop,74,coop
4,coop,49,coop
7,coop,43,coop
8,coop,44,coop
40,coop,45,coop
25,coop,51,coop
27,coop,52,coop
19,coop,43,coop
19,coop,80,coop
58,coop,81,coop
21,comp,53,comp
21,coop,54,coop
26,coop,94,coop
58,coop,72,coop
8,coop,58,coop
38,coop,46,coop
28,coop,53,coop
31,coop,57,coop
25,coop,57,coop
25,coop,30,coop
46,coop,70,coop
34,comp,88,comp
25,comp,61,comp
19,coop,26,coop
25,coop,31,coop
14,coop,76,coop
14,coop,53,coop
9,coop,36,coop
21,coop,45,coop
5,coop,44,coop
32,coop,69,coop
46,coop,59,coop
2,coop,8,coop
11,coop,38,coop
5,coop,90,coop
7,coop,74,coop
5,coop,11,coop
12,comp,70,comp
23,coop,49,coop
26,coop,46,coop
42,coop,77,coop
17,coop,36,coop
57,coop,78,coop
7,coop,75,coop
8,coop,68,coop
46,coop,50,coop
47,coop,57,coop
7,coop,59,coop
7,coop,71,coop
5,coop,17,coop
29,coop,41,coop
23,coop,65,coop
32,coop,53,coop
38,coop,67,coop
13,coop,15,coop
46,coop,56,coop
76,coop,89,coop
49,coop,93,coop
21,coop,40,coop
37,coop,57,coop
8,coop,92,coop
1,coop,82,coop
27,coop,85,coop
7,coop,88,coop
6,coop,12,coop
78,coop,83,coop
81,comp,92,comp
10,coop,30,coop
2,comp,92,comp
25,coop,48,coop
5,coop,20,coop
29,coop,75,coop
5,coop,62,coop
42,coop,57,coop
77,coop,83,coop
31,coop,47,coop
64,coop,83,coop
7,coop,34,coop
6,coop,25,coop
5,coop,28,coop
32,coop,39,coop
54,coop,76,coop
7,coop,13,coop
13,coop,78,coop
48,coop,61,coop
28,coop,69,coop
38,coop,63,coop
